City,STATE_ABBR,Date,EVENT_TYPE,TOR_F_SCALE,DEATHS_DIRECT,Lat,Lng,END_LOCATION,Max Temp,Humidity,Cloudiness,Wind Speed,Country
truttneys lndg,NC,11-01-2019,Tornado,EF0,0.0,34.7394,-77.1094,TRUTTNEYS LNDG,,,,,
waveland,FL,11-05-2019,Tornado,EF0,0.0,27.214000000000002,-80.1729,WAVELAND,,,,,
prichard,AL,11-07-2019,Tornado,EF0,0.0,30.7248,-88.0548,PRICHARD,,,,,
baskin,LA,11-26-2019,Tornado,EF2,1.0,32.2351,-91.7783,BASKIN,,,,,
mahan,LA,11-26-2019,Tornado,EF1,0.0,32.9017,-93.0423,MAHAN,,,,,
tendal,LA,11-26-2019,Tornado,EFU,0.0,32.4565,-91.3847,WAVERLY,,,,,
whites,MS,11-26-2019,Tornado,EF2,0.0,32.0586,-90.1282,ROOK HILL,,,,,
johns,MS,11-27-2019,Tornado,EF1,0.0,32.1338,-89.8041,RUFUS,,,,,
daniel,MS,11-27-2019,Tornado,EF0,0.0,32.1528,-89.7312,POLKVILLE,,,,,
brundidge muni arpt,AL,11-27-2019,Tornado,EF0,0.0,31.7283,-85.7842,BRUNDIDGE MUNI ARPT,,,,,
clio,AL,11-27-2019,Tornado,EF0,0.0,31.724,-85.6294,CLIO,,,,,
baxters,AL,11-27-2019,Tornado,EF0,0.0,31.7199,-85.5568,LINDSEY,,,,,
sunnyslope,AZ,11-29-2019,Tornado,EF0,0.0,33.56,-112.12,PHOENIX DEER VLY ARP,,,,,
cactus,AZ,11-29-2019,Tornado,EF0,0.0,33.56,-112.06,SCOTTSDALE MUNI,,,,,
higley,AZ,11-29-2019,Tornado,EF0,0.0,33.29,-111.75,HIGLEY,,,,,
queen creek,AZ,11-29-2019,Tornado,EF0,0.0,33.23,-111.63,BOYS RANCH,,,,,
fanslers,IA,11-30-2019,Tornado,EFU,0.0,41.7142,-94.4399,FANSLERS,,,,,
fanslers,IA,11-30-2019,Tornado,EFU,0.0,41.7456,-94.4256,FANSLERS,,,,,
kirkwood,FL,12-14-2019,Tornado,EF0,0.0,29.5329,-82.3071,KIRKWOOD,,,,,
elkton,FL,12-14-2019,Tornado,EF0,0.0,29.7839,-81.4265,ELKTON,,,,,
st johns park,FL,12-14-2019,Tornado,EF1,0.0,29.3991,-81.4269,BULOW,,,,,
linton,LA,12-16-2019,Tornado,EF1,0.0,32.6336,-93.602,BELLEVUE,,,,,
hortman,LA,12-16-2019,Tornado,EF1,0.0,32.7039,-93.445,EVERGREEN,,,,,
union hill,LA,12-16-2019,Tornado,EF2,0.0,30.9273,-92.7934,UNION HILL,,,,,
ruple,LA,12-16-2019,Tornado,EF1,0.0,32.7912,-93.2378,RUPLE,,,,,
st joseph lake,LA,12-16-2019,Tornado,EF0,0.0,32.0226,-91.0938,ST JOSEPH LAKE,,,,,
grand gulf,MS,12-16-2019,Tornado,EF1,0.0,32.0253,-91.0856,GALLOWAY,,,,,
de ridder,LA,12-16-2019,Tornado,EF3,0.0,30.8471,-93.2657,IKES,,,,,
rosepine,LA,12-16-2019,Tornado,EF3,1.0,30.8832,-93.2135,LEANDER,,,,,
allen,MS,12-16-2019,Tornado,EF1,0.0,32.0905,-90.9656,ALLEN,,,,,
newman,MS,12-16-2019,Tornado,EF0,0.0,32.2043,-90.7831,NEWMAN,,,,,
newman,MS,12-16-2019,Tornado,EF1,0.0,32.2316,-90.7267,ORANGE HILL,,,,,
hineston,LA,12-16-2019,Tornado,EF3,0.0,31.1284,-92.8285,CAMP BEAUREGARD,,,,,
bewelcome,MS,12-16-2019,Tornado,EF3,0.0,31.194000000000003,-90.8942,MARS HILL,,,,,
knoxville,MS,12-16-2019,Tornado,EF2,0.0,31.4046,-91.1485,FRANKLIN,,,,,
auburn,MS,12-16-2019,Tornado,EF2,0.0,31.3493,-90.6308,NORFIELD,,,,,
center,MS,12-16-2019,Tornado,EF1,0.0,34.4639,-88.9277,JERICHO,,,,,
calhoun city,MS,12-16-2019,Tornado,EF0,0.0,33.815,-89.3471,CALHOUN CITY,,,,,
bolivar,LA,12-16-2019,Tornado,EF1,0.0,30.8685,-90.3253,BOLIVAR,,,,,
blair,MS,12-16-2019,Tornado,EF2,0.0,34.4439,-88.7189,CHAPELVILLE,,,,,
guntown,MS,12-16-2019,Tornado,EF0,0.0,34.4141,-88.6267,CHAPELVILLE,,,,,
enterprise,MS,12-16-2019,Tornado,EF0,0.0,31.4372,-90.3832,ENTERPRISE,,,,,
new site,MS,12-16-2019,Tornado,EF0,0.0,34.5566,-88.4382,NEW SITE,,,,,
tishomingo,MS,12-16-2019,Tornado,EF1,0.0,34.624,-88.2287,MINGO,,,,,
sumbax,MS,12-16-2019,Tornado,EF2,0.0,31.1927,-89.9206,COLUMBIA,,,,,
campbell,MS,12-16-2019,Tornado,EF1,0.0,31.6159,-90.0076,CAMPBELL,,,,,
lucas,MS,12-16-2019,Tornado,EF2,0.0,31.6379,-89.975,GWINVILLE,,,,,
red rock,AL,12-16-2019,Tornado,EF1,0.0,34.7043,-87.8715,RED ROCK,,,,,
colbert hgts,AL,12-16-2019,Tornado,EF2,0.0,34.64,-87.7331,HOBGOOD SIDING,,,,,
new haven,TN,12-16-2019,Tornado,EF0,0.0,35.269,-87.51899999999999,DEERFIELD,,,,,
columbia marion arpt,MS,12-16-2019,Tornado,EF1,0.0,31.2824,-89.7682,COLUMBIA MARION ARPT,,,,,
rigdom,AL,12-16-2019,Tornado,EF2,2.0,34.6445,-87.4126,JERUSALEM,,,,,
sumrall,MS,12-16-2019,Tornado,EF3,0.0,31.3902,-89.5764,SUMRALL,,,,,
saratoga,MS,12-16-2019,Tornado,EF1,0.0,31.7925,-89.6781,SARATOGA,,,,,
thortontown,AL,12-16-2019,Tornado,EF1,0.0,34.8017,-87.3322,ROGERSVILLE,,,,,
mize,MS,12-16-2019,Tornado,EF3,0.0,31.8076,-89.6547,CENTER RIDGE,,,,,
sanford,MS,12-16-2019,Tornado,EF1,0.0,31.4339,-89.5,SANFORD,,,,,
lawngate,AL,12-16-2019,Tornado,EF1,0.0,34.6997,-87.101,STEWERDS STORE,,,,,
fosters mill,AL,12-16-2019,Tornado,EF0,0.0,34.747,-87.181,FOSTERS MILL,,,,,
yell,TN,12-16-2019,Tornado,EF0,0.0,35.361,-86.823,LUNA,,,,,
cash pt,TN,12-16-2019,Tornado,EF0,0.0,35.0106,-86.8261,BLANCHE,,,,,
monrovia,AL,12-16-2019,Tornado,EF1,0.0,34.7904,-86.7366,JEFF,,,,,
(lul)hesler fld laur,MS,12-16-2019,Tornado,EF3,0.0,31.671999999999997,-89.1726,SANDERSVILLE,,,,,
mt leventov,AL,12-16-2019,Tornado,EF0,0.0,34.8593,-86.6252,MERIDIANVILLE,,,,,
merrill,MS,12-16-2019,Tornado,EF1,0.0,31.8102,-88.9432,MERRILL,,,,,
sandersville,MS,12-16-2019,Tornado,EF2,0.0,31.8272,-88.9036,SANDERSVILLE,,,,,
hinton,AL,12-16-2019,Tornado,EF1,0.0,32.0877,-88.4489,PUSHMATAHA,,,,,
demopolis muni arpt,AL,12-16-2019,Tornado,EF2,0.0,32.4206,-87.9787,DEMOPOLIS MUNI ARPT,,,,,
hogglesville,AL,12-16-2019,Tornado,EF0,0.0,32.7695,-87.4927,HOGGLESVILLE,,,,,
morgan spgs,AL,12-16-2019,Tornado,EF0,0.0,32.7832,-87.4723,MORGAN SPGS,,,,,
vick,AL,12-16-2019,Tornado,EF0,0.0,32.98,-87.0507,SIX MILE,,,,,
brierfield,AL,12-16-2019,Tornado,EF1,0.0,33.0416,-86.9401,BRIERFIELD,,,,,
south newala,AL,12-16-2019,Tornado,EF0,0.0,33.0851,-86.8429,SOUTH NEWALA,,,,,
madrid,AL,12-17-2019,Tornado,EF0,0.0,31.03,-85.39,MADRID,,,,,
rock hill,GA,12-17-2019,Tornado,EF0,0.0,31.355,-85.0228,LUKE,,,,,
harmony church rd/hwy 45,GA,12-17-2019,Tornado,EF1,0.0,31.2046,-84.7031,COOKTOWN,,,,,
newton,GA,12-17-2019,Tornado,EF0,0.0,31.3074,-84.3932,NEWTON,,,,,
waterloo,GA,12-17-2019,Tornado,EF2,0.0,31.58,-83.42,OCILLA,,,,,
fitzgerald municipal arpt,GA,12-17-2019,Tornado,EF2,0.0,31.6541,-83.2551,ASHTON,,,,,
ventura,CA,12-25-2019,Tornado,EF0,0.0,34.2356,-119.2588,VENTURA,,,,,
ranchvale,NM,12-27-2019,Tornado,EF1,0.0,34.5798,-103.3425,RANCHVALE,,,,,
broken arrow,OK,12-28-2019,Tornado,EF0,0.0,36.0121,-95.7647,BROKEN ARROW,,,,,
oneta,OK,12-28-2019,Tornado,EF0,0.0,36.0137,-95.7617,ONETA,,,,,
fair play,MO,12-28-2019,Tornado,EF0,0.0,37.5943,-93.5645,FAIR PLAY,,,,,
champion hill,MS,12-29-2019,Tornado,EF0,0.0,32.3604,-90.4975,BOLTON,,,,,
cameron,MS,12-29-2019,Tornado,EF0,0.0,32.8795,-89.8075,CAMERON,,,,,
newport,MS,12-29-2019,Tornado,EF1,0.0,32.8851,-89.7947,NEWPORT,,,,,
bolatushu,MS,12-29-2019,Tornado,EF0,0.0,32.9278,-89.7303,BOLATUSHU,,,,,
bolatushu,MS,12-29-2019,Tornado,EF0,0.0,32.93,-89.7217,BOLATUSHU,,,,,
kosciusko arpt,MS,12-29-2019,Tornado,EF1,0.0,33.0978,-89.5429,ETHEL,,,,,
ethel,MS,12-29-2019,Tornado,EF1,0.0,33.1628,-89.4323,MC COOL,,,,,
weir,MS,12-29-2019,Tornado,EF1,0.0,33.2598,-89.2778,ACKERMAN CHOCTAW ARP,,,,,
adaton,MS,12-29-2019,Tornado,EF0,0.0,33.472,-89.0315,ADATON,,,,,
stratton,MS,12-29-2019,Tornado,EF1,0.0,32.5268,-89.1628,UNION,,,,,
lawngate,AL,12-29-2019,Tornado,EF0,0.0,34.7541,-87.0777,ATHENS,,,,,
